codeNum,moisture,protein,ash,viscosity
1,13.5,6.5,0.306,37
2,13.3,7.45,0.3,51
3,12.7,9.45,0.405,66
4,11.7,12.05,0.94,15
5,12.7,6.25,0.277,30
6,12.7,7.2,0.287,52
7,12.4,7.2,0.29,43
8,12.3,8.3,0.3,65
9,13.1,8.35,0.298,73
10,13.2,9,0.31,93
11,12.3,9,0.305,89
12,12.2,10.6,0.356,119
13,12.4,8.15,0.44,38
14,11.7,9.35,0.46,64
15,11.4,10.55,0.538,107
16,11.1,10.9,0.74,23
17,11,11.5,0.84,30
18,10.1,10.8,1.12,15
19,10.6,11.4,1.08,19
20,13.7,7.3,0.27,45
21,13.4,8.9,0.362,73
22,13.1,7.3,0.302,40
23,13.1,8.05,0.324,57
24,12.9,9.3,0.514,52
25,13.2,8.85,0.328,66
26,12.9,9,0.304,70
27,12.8,9.25,0.336,84
28,12.6,9.75,0.332,96
29,12.4,9.85,0.362,97
30,12.8,10.85,0.46,116
31,12,9.2,0.616,12
32,12.6,13.1,1.208,29
33,12.6,10.4,0.498,93
34,12.1,12.2,0.67,77
35,12.3,12.5,1.416,32
36,11.7,13.9,1.41,40
37,11.8,12.15,1.264,30
38,12.2,13.5,1.3,38
39,12.8,9.75,0.602,15
